,obj_yearConstructed,obj_livingSpace,obj_noRooms,obj_numberOfFloors,obj_lotArea,obj_noParkSpaces,obj_buildingType,obj_cellar,obj_condition,obj_interiorQual,obj_heatingType,obj_newlyConst,obj_regio1,geo_krs,obj_purchasePrice,label
155,1971.0,143.0,14.0,3.0,819.0,,single_family_house,n,well_kept,no_information,electric_heating,n,Schleswig_Holstein,Mönchengladbach,480000.0,fake
156,,110.0,4.0,4.0,3024.0,,farmhouse,n,need_of_renovation,normal,central_heating,n,Hessen,Alzey_Worms_Kreis,345000.0,fake
157,2000.0,38.0,7.0,2.0,812.0,3.0,semidetached_house,y,no_information,simple,stove_heating,n,Niedersachsen,Südwestpfalz_Kreis,410000.0,fake
158,,255.0,6.0,2.0,1046.0,,multi_family_house,y,need_of_renovation,no_information,central_heating,n,Sachsen_Anhalt,Harz_Kreis,589000.0,fake
159,1978.0,180.0,16.0,2.0,375.0,2.0,multi_family_house,n,no_information,no_information,central_heating,n,Rheinland_Pfalz,Hamburg,412000.0,fake
160,2019.0,215.0,6.0,2.0,6208.0,1.0,single_family_house,n,well_kept,sophisticated,district_heating,n,Baden_Württemberg,Main_Taunus_Kreis,49000.0,fake
161,1900.0,100.0,4.0,,700.0,,multi_family_house,n,fully_renovated,no_information,no_information,n,Nordrhein_Westfalen,Viersen_Kreis,1200000.0,fake
162,1959.0,176.0,4.0,,672.0,2.0,no_information,n,no_information,no_information,central_heating,n,Bayern,Bad_Kissingen_Kreis,267000.0,fake
163,1900.0,100.0,12.0,,654.0,3.0,single_family_house,y,no_information,sophisticated,gas_heating,n,Brandenburg,Gütersloh_Kreis,195000.0,fake
164,1965.0,140.0,10.0,,1071.0,3.0,other_real_estate,y,well_kept,no_information,central_heating,n,Bayern,Nordfriesland_Kreis,607000.0,fake
165,1979.0,100.0,7.0,,457.0,3.0,special_real_estate,y,well_kept,normal,central_heating,n,Bayern,Erlangen_Höchstadt_Kreis,485000.0,fake
166,,125.0,5.0,1.0,200.0,2.0,single_family_house,y,well_kept,no_information,central_heating,n,Nordrhein_Westfalen,Potsdam_Mittelmark_Kreis,549000.0,fake
167,1983.0,201.01,4.0,,187.8,11.0,semidetached_house,y,well_kept,no_information,gas_heating,n,Nordrhein_Westfalen,Sömmerda_Kreis,450000.0,fake
168,1892.0,118.0,10.0,,999.0,4.0,single_family_house,n,first_time_use,simple,gas_heating,n,Saarland,Borken_Kreis,169000.0,fake
169,2000.0,173.0,6.0,3.0,680.0,2.0,mid_terrace_house,n,no_information,no_information,central_heating,n,Brandenburg,Eichstätt_Kreis,768000.0,fake
170,1968.0,137.0,3.0,1.0,490.0,4.0,no_information,y,well_kept,no_information,gas_heating,n,Baden_Württemberg,Schwäbisch_Hall_Kreis,315000.0,fake
171,1965.0,120.0,5.0,4.0,920.0,1.0,no_information,y,no_information,no_information,floor_heating,n,Hessen,Stadtverband_Saarbrücken_Kreis,129000.0,fake
172,1900.0,105.0,12.0,,7300.0,,no_information,y,well_kept,luxury,central_heating,n,Bayern,Bremen,30000.0,fake
173,1875.0,100.0,8.0,,142.0,,single_family_house,n,no_information,sophisticated,no_information,n,Rheinland_Pfalz,Havelland_Kreis,188000.0,fake
174,2019.0,80.0,5.0,,1387.0,1.0,single_family_house,y,no_information,sophisticated,gas_heating,n,Thüringen,Bitburg_Prüm_Kreis,229000.0,fake
175,1920.0,420.0,4.0,1.0,760.0,,single_family_house,n,need_of_renovation,no_information,no_information,n,Nordrhein_Westfalen,Altmarkkreis_Salzwedel,295999.0,fake
176,2003.0,205.0,4.0,2.0,441.56,3.0,semidetached_house,y,negotiable,simple,floor_heating,n,Sachsen,Neuburg_Schrobenhausen_Kreis,370000.0,fake
177,1960.0,200.0,4.0,2.0,173.0,2.0,bungalow,n,well_kept,normal,floor_heating,n,Nordrhein_Westfalen,Hannover_Kreis,269000.0,fake
